City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Cidreira,BR,68.81,moderate rain,-30.1811,-50.2056,Hotel Castelo
2,Kapaa,US,74.19,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Daru,PG,78.39,broken clouds,-9.0763,143.2092,Daru Lodge
5,Rikitea,PF,76.5,scattered clouds,-23.1203,-134.9692,People ThankYou
6,Santiago Del Estero,AR,82.27,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
7,Kavaratti,IN,82.62,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
13,East London,ZA,72.54,few clouds,-33.0153,27.9116,Tu Casa
17,Castro,BR,70.75,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
22,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
24,Jasper,US,71.02,clear sky,37.2001,-94.3502,Guest House Motel
27,Atuona,PF,79.54,overcast clouds,-9.8,-139.0333,Villa Enata
31,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
35,Port Elizabeth,ZA,66.09,few clouds,-33.918,25.5701,39 On Nile Guest House
43,Port Alfred,ZA,72.18,broken clouds,-33.5906,26.891,The Halyards Hotel
44,Butaritari,KI,81.27,broken clouds,3.0707,172.7902,Isles Sunset Lodge
46,Batangafo,CF,83.91,overcast clouds,7.3008,18.2833,OCHA Office
47,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
48,Geraldton,AU,72.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
50,Curitiba,BR,71.74,broken clouds,-25.504,-49.2908,Lino's Hotel Ltda
55,Tabatinga,BR,75.29,broken clouds,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
56,Touros,BR,82.54,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
59,Wanning,CN,66.99,overcast clouds,18.8003,110.3967,Paradise Hotel
60,San Patricio,US,82.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
61,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
62,Arraial Do Cabo,BR,84.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
63,Hobyo,SO,82.02,clear sky,5.3505,48.5268,Iftin hotel hobyo
65,Vaini,TO,71.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
66,Alyangula,AU,73.27,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
67,Farah,AF,68.9,clear sky,32.5,62.5,
70,Bol,TD,84.94,broken clouds,13.4586,14.7147,Harrouni camp de passage
71,Gizo,SB,81.91,broken clouds,-8.103,156.8419,Imagination Island
72,Hilo,US,72.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
73,Chuy,UY,71.31,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
76,Sao Filipe,CV,71.31,few clouds,14.8961,-24.4956,Hotel Xaguate
